Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
axios,4.0.1,Kamil Mysliwiec,MIT,ajv,8.17.1,library,Evgeny Poberezkin,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,json-schema-traverse,1.0.0,library,Evgeny Poberezkin,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,execute-rule,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,resolve-extends,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cosmiconfig-typescript-loader,6.1.0,library,Alex Miller,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cosmiconfig,9.0.0,library,Daniel Fischer,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,js-yaml,4.1.0,library,Vladimir Zapparov,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,argparse,2.0.1,library,NA,Python-2.0
axios,4.0.1,Kamil Mysliwiec,MIT,lodash.isplainobject,4.0.6,library,John-David Dalton,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,lodash.uniq,4.5.0,library,John-David Dalton,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,top-level,19.8.1,library,Mario Nebl,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,find-up,7.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,locate-path,7.2.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,path-exists,5.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,p-locate,6.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,p-limit,4.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,yocto-queue,1.2.1,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,git-raw-commits,4.0.0,library,Steve Mao,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,minimist,1.2.8,library,James Halliday,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,conventional-commits-parser,5.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cliui,8.0.1,library,Ben Coe,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,wrap-ansi,7.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,escalade,3.2.0,library,Luke Edwards,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,get-caller-file,2.0.5,library,Stefan Penner,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,require-directory,2.1.1,library,Troy Goode,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,string-width,4.2.3,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,y18n,5.0.8,library,Ben Coe,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,json-schema-traverse,0.4.1,library,Evgeny Poberezkin,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,uri-js,4.4.1,library,Gary Court,BSD-2-Clause
axios,4.0.1,Kamil Mysliwiec,MIT,ms,2.1.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,acorn-jsx,5.3.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,acorn,8.15.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,parent-module,1.0.1,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,brace-expansion,1.1.11,library,Julian Gruber,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,inflate,0.2.7,library,Borewit,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,strtok3,10.2.2,library,Borewit,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,token-types,6.0.0,library,Borewit,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,uint8array-extras,1.4.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,csprng,1.0.1,library,Luke Edwards,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,consola,3.4.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,object-assign,4.1.1,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,vary,1.1.2,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,accepts,2.0.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-types,3.0.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-db,1.53.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,body-parser,2.2.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,iconv-lite,0.6.3,library,Alexander Shtuchkin,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,type-is,2.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,media-typer,1.1.0,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-types,3.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-db,1.54.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,content-disposition,1.0.0,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,content-type,1.0.5,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cookie-signature,1.2.2,library,TJ Holowaychuk,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cookie,0.7.1,library,Roman Shtylman,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,encodeurl,2.0.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,escape-html,1.0.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,etag,1.8.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,finalhandler,2.1.0,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,fresh,2.0.0,library,TJ Holowaychuk,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,http-errors,2.0.0,library,Jonathan Ong,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,merge-descriptors,2.0.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,on-finished,2.4.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,once,1.4.0,library,Isaac Z. Schlueter,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,parseurl,1.3.3,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,proxy-addr,2.0.7,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,qs,6.14.0,library,NA,BSD-3-Clause
axios,4.0.1,Kamil Mysliwiec,MIT,range-parser,1.2.1,library,TJ Holowaychuk,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,router,2.2.0,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,send,1.2.0,library,TJ Holowaychuk,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-types,3.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-db,1.54.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,serve-static,2.2.0,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,statuses,2.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,append-field,1.0.0,library,Linus Unnebäck,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,busboy,1.6.0,library,Brian White,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,concat-stream,2.0.0,library,Max Ogden,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mkdirp,0.5.6,library,James Halliday,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,type-is,1.6.18,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,xtend,4.0.2,library,Raynos,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,expect-utils,30.1.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,get-type,30.1.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest-matcher-utils,30.1.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest-message-util,30.1.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,jest-mock,30.0.5,library,NA,MIT
