Library,Current Version,Latest Version,Status
neo-async,2.6.2,2.6.2,Up-to-date
tapable,2.2.3,2.2.3,Up-to-date
terser-webpack-plugin,5.3.14,5.3.14,Up-to-date
watchpack,2.4.4,2.4.4,Up-to-date
webpack-sources,3.3.3,3.3.3,Up-to-date
gen-mapping,0.3.13,0.0.1-security,Current version is newer than npm (0.0.1-security)
trace-mapping,0.3.30,,Not Found
helper-validator-identifier,7.27.1,,Not Found
js-tokens,4.0.0,9.0.1,Update available (9.0.1)
jsesc,3.1.0,3.1.0,Up-to-date
lru-cache,5.1.1,11.2.1,Update available (11.2.1)
helper-module-imports,7.27.1,,Not Found
helper-globals,7.28.0,,Not Found
helper-string-parser,7.27.1,,Not Found
helper-skip-transparent-expression-wrappers,7.27.1,,Not Found
helper-create-regexp-features-plugin,7.27.1,,Not Found
helper-remap-async-to-generator,7.27.1,,Not Found
helper-create-class-features-plugin,7.28.3,,Not Found
helper-annotate-as-pure,7.27.3,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-replace-supers,7.27.1,,Not Found
helper-define-polyfill-provider,0.6.5,,Not Found
decompress-tar,4.1.1,4.1.1,Up-to-date
decompress-tarbz2,4.1.1,4.1.1,Up-to-date
file-type,6.2.0,21.0.0,Update available (21.0.0)
decompress-targz,4.1.1,4.1.1,Up-to-date
decompress-unzip,4.0.1,4.0.1,Up-to-date
file-type,3.9.0,21.0.0,Update available (21.0.0)
pify,2.3.0,6.1.0,Update available (6.1.0)
strip-dirs,2.1.0,3.0.0,Update available (3.0.0)
minimist,1.2.8,1.2.8,Up-to-date
chownr,2.0.0,3.0.0,Update available (3.0.0)
fs-minipass,2.1.0,3.0.3,Update available (3.0.3)
minipass,3.3.6,7.1.2,Update available (7.1.2)
minizlib,2.1.2,3.0.2,Update available (3.0.2)
project-service,8.43.0,,Not Found
tsconfig-utils,8.43.0,4.1.1,Current version is newer than npm (4.1.1)
fast-glob,3.3.3,3.3.3,Up-to-date
glob-parent,5.1.2,6.0.2,Update available (6.0.2)
lodash.clonedeep,4.5.0,4.5.0,Up-to-date
lodash.set,4.3.2,4.3.2,Up-to-date
acorn-jsx,5.3.2,5.3.2,Up-to-date
call-bind,1.0.8,1.0.8,Up-to-date
define-properties,1.2.1,1.2.1,Up-to-date
is-arguments,1.2.0,1.2.0,Up-to-date
is-generator-function,1.1.0,1.1.0,Up-to-date
is-typed-array,1.1.15,1.1.15,Up-to-date
which-typed-array,1.1.19,1.1.19,Up-to-date
commondir,1.0.1,1.0.1,Up-to-date
pkg-dir,4.2.0,9.0.0,Update available (9.0.0)
big.js,5.2.2,7.0.1,Update available (7.0.1)
emojis-list,3.0.0,3.0.0,Up-to-date
bluebird,2.11.0,3.7.2,Update available (3.7.2)
concat-stream,1.6.2,2.0.0,Update available (2.0.0)
dev-null,0.1.1,0.1.1,Up-to-date
errors,0.2.0,0.3.0,Update available (0.3.0)
form-data2,1.0.4,1.0.4,Up-to-date
uuid,2.0.3,13.0.0,Update available (13.0.0)
form-fix-array,1.0.0,1.0.0,Up-to-date
stream-length,1.0.2,1.0.2,Up-to-date
through2-sink,1.0.0,1.0.0,Up-to-date
xtend,3.0.0,4.0.2,Update available (4.0.2)
through2-spy,1.2.0,2.0.0,Update available (2.0.0)
tough-cookie,2.5.0,6.0.0,Update available (6.0.0)
ansi-styles,2.2.1,6.2.3,Update available (6.2.3)
escape-string-regexp,1.0.5,5.0.0,Update available (5.0.0)
has-ansi,2.0.0,6.0.2,Update available (6.0.2)
strip-ansi,3.0.1,7.1.2,Update available (7.1.2)
supports-color,2.0.0,10.2.2,Update available (10.2.2)
os-name,1.0.3,6.1.0,Update available (6.1.0)
prr,1.0.1,1.0.1,Up-to-date
call-bound,1.0.4,1.0.4,Up-to-date
has-tostringtag,1.0.2,1.0.2,Up-to-date
is-browser,2.1.0,2.1.0,Up-to-date
parse-domain,0.2.2,8.2.2,Update available (8.2.2)
caller-path,0.1.0,4.0.0,Update available (4.0.0)
cli-table,0.3.11,0.3.11,Up-to-date
eol,0.2.0,0.10.0,Update available (0.10.0)
nopt,3.0.6,8.1.0,Update available (8.1.0)
splitargs,0.0.7,0.0.7,Up-to-date
node,24.3.1,20.19.5,Current version is newer than npm (20.19.5)
isbot,2.5.7,5.1.30,Update available (5.1.30)
useragent,2.3.0,2.3.0,Up-to-date
